,serial_with_season,movie,serial_without_season
3416,23,11805,0
3421,0,218602,0
3478,7713,44101,0
3497,0,25899,0
3504,53746,2220,0
3651,0,3516,0
3652,0,237,0
3654,0,21711,0
3661,0,5605,0
3663,0,14635,0
3667,0,3799,0
3673,2757,229254,0
3737,0,1399,0
3738,618,13947,0
3741,63,97191,0
3793,0,42815,0
3806,0,2297,0
3810,270,142543,0
3862,0,9776,0
3865,0,10764,0
3868,0,19416,0
3874,0,988,0
3877,0,417,0
3878,0,4028,0
3880,0,972,0
3881,18,0,0
3882,481,6889,0
3885,0,6302,0
3888,0,41467,0
3902,0,59,0
3903,0,5437,0
3906,0,20427,0
3916,28,5811,0
3920,0,6730,0
3922,0,50435,0
3936,22,96,0
3938,0,150,0
3939,119,151444,0
3984,0,7976,0
3989,0,19301,0
3997,0,13,0
3998,0,820,0
3999,0,30,0
4000,0,141,0
4001,0,1520,0
4002,2987,0,0
4004,0,14,0
4005,0,8064,0
4008,0,10826,0
4011,12,34749,0
4021,0,5035,0
4022,0,5814,0
4023,0,35098,0
4032,0,6,0
4033,0,16069,0
4046,0,12573,0
4048,0,10005,0
4049,567,0,0
4050,0,12561,0
4053,0,21942,0
4057,0,1493,0
4058,0,6793,0
4059,0,548,0
4061,0,1299,0
4062,0,11922,0
4065,53,0,0
4066,0,1800,0
4067,0,455,0
4068,0,759,0
4069,0,10195,0
4074,0,16076,0
4079,0,137,0
4080,0,38759,0
4091,0,23,0
4092,0,187,0
4093,0,8762,0
4097,0,5449,0
4098,460,0,0
4099,41,28989,0
4110,0,24218,0
4121,0,588,0
4122,0,28,0
4123,0,2154,0
4124,0,150,0
4125,0,754,0
4129,0,13326,0
4134,0,1485,0
4135,0,228,0
4136,0,1830,0
4137,0,4924,0
4138,0,1889,0
4139,1042,0,0
4141,0,1136,0
4142,0,30,0
4143,0,61,0
4144,0,30,0
4145,0,6386,0
4151,2837,0,0
4157,0,19411,0
4161,0,7778,0
4163,21142,22086,0
4179,0,880,0
4181,0,4674,0
4183,0,11340,0
4188,0,1866,0
4189,0,5592,0
4200,0,6376,0
4206,0,210,0
4207,0,52788,0
4219,0,19963,0
4224,0,7528,0
4226,11665,56683,0
4242,0,31107,0
4251,0,4502,0
4252,558,2902,0
4256,123,144946,0
4285,43,0,0
4286,0,2271,0
4288,0,24368,0
4296,0,35365,0
4305,12150,0,0
4310,0,986,0
4311,0,46,0
4312,5200,2874,0
4320,0,2949,0
4321,0,9261,0
4325,0,17479,0
4331,11,57881,0
4344,13,0,0
4345,0,3816,0
4350,0,23766,0
4355,0,1523,0
4360,0,95191,0
4398,0,1,0
4399,0,3605,0
4400,150,0,0
4401,0,1312,0
4403,0,90,0
4405,11834,55046,0
4428,1128,30,0
4430,0,6240,0
4433,0,372,0
4434,0,1779,0
4440,0,13623,0
4444,0,6,0
4445,0,15327,0
4448,0,292,0
4449,0,49397,0
4462,0,42,0
4464,0,409,0
4466,0,12002,0
4469,0,1222,0
4470,0,33652,0
4478,0,9951,0
4480,0,9922,0
4482,0,5352,0
4484,119,68884,0
4510,0,2206,0
4516,0,9981,0
4521,0,2376,0
4522,0,620,0
4523,0,462,0
4524,0,136105,0
4561,0,6810,0
4562,0,2341,0
4563,0,29170,0
4571,0,9239,0
4574,2515,560,0
4577,0,39,0
4578,45004,5457,0
4598,0,9,0
4599,32,31030,0
4607,0,20798,0
4612,0,351,0
4613,2955,47604,0
4630,0,6,0
4631,0,1276,0
4632,531,1199,0
4635,0,4,0
4636,0,540,0
4637,0,2386,0
4638,0,15932,0
4641,10601,0,0
4645,0,5540,0
4647,0,3044,0
4648,0,3585,0
4650,0,6072,0
4651,0,3889,0
4653,0,58356,0
4674,0,5289,0
4675,0,4881,0
4677,0,1188,0
4678,0,5631,0
4680,0,45502,0
4694,0,976,0
4695,0,7,0
4696,0,2,0
4697,0,52069,0
4718,0,12111,0
4720,0,6191,0
4722,0,207895,0
4766,163,0,0
4767,0,38366,0
4784,45,83394,0
4809,0,9575,0
4813,0,1441,0
4816,0,11356,0
4822,0,153,0
4825,0,8472,0
4829,0,25474,0
4835,0,26,0
4836,0,6335,0
4842,0,4671,0
4845,0,8554,0
4850,0,11813,0
4853,0,43562,0
4861,0,32112,0
4876,0,10557,0
4884,0,4830,0
4885,0,5975,0
4889,0,17824,0
4894,0,51774,0
4916,0,218,0
4919,0,6497,0
4920,37441,146,0
4936,0,156801,0
4975,0,107098,0
5000,281271,253029,0
5147,0,8053,0
5151,0,10212,0
5154,2259,0,0
5155,610,26096,0
